row_id,rq,paper_mapping,item,metric,metric_label,value
rq3|Gleaner w/o AD|avg_path_coverage_dedup,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner w/o AD,avg_path_coverage_dedup,Path coverage,0.894389087627
rq3|Gleaner w/o AD|avg_benefit_cost_ratio,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner w/o AD,avg_benefit_cost_ratio,Benefit-cost ratio,0.831225909705
rq3|Gleaner w/o DPP|avg_api_coverage,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner w/o DPP,avg_api_coverage,API coverage,0.996576792772
rq3|Gleaner w/o DPP|avg_unique_trace_coverage,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner w/o DPP,avg_unique_trace_coverage,Unique trace coverage,0.191684312994
rq3|Gleaner w/o DPP|avg_shannon_entropy,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner w/o DPP,avg_shannon_entropy,Shannon entropy,7.25037466026
rq3|Gleaner w/o DPP|avg_proportion_anomaly,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner w/o DPP,avg_proportion_anomaly,Anomaly proportion,0.106473167325
rq3|Gleaner w/o DPP|avg_path_coverage_dedup,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner w/o DPP,avg_path_coverage_dedup,Path coverage,0.851324489445
rq3|Gleaner w/o DPP|avg_benefit_cost_ratio,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner w/o DPP,avg_benefit_cost_ratio,Benefit-cost ratio,0.774749535463
rq3|Gleaner w/o Logs|avg_api_coverage,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner w/o Logs,avg_api_coverage,API coverage,0.994741671372
rq3|Gleaner w/o Logs|avg_unique_trace_coverage,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner w/o Logs,avg_unique_trace_coverage,Unique trace coverage,0.20997285284
rq3|Gleaner w/o Logs|avg_shannon_entropy,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner w/o Logs,avg_shannon_entropy,Shannon entropy,7.40436444081
rq3|Gleaner w/o Logs|avg_proportion_anomaly,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner w/o Logs,avg_proportion_anomaly,Anomaly proportion,0.107713666863
rq3|Gleaner w/o Logs|avg_path_coverage_dedup,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner w/o Logs,avg_path_coverage_dedup,Path coverage,0.887532178608
rq3|Gleaner w/o Logs|avg_benefit_cost_ratio,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner w/o Logs,avg_benefit_cost_ratio,Benefit-cost ratio,0.807019321696
rq3|Gleaner w/o Logs + AD|avg_api_coverage,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner w/o Logs + AD,avg_api_coverage,API coverage,0.994741671372
rq3|Gleaner w/o Logs + AD|avg_unique_trace_coverage,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner w/o Logs + AD,avg_unique_trace_coverage,Unique trace coverage,0.204412472216
rq3|Gleaner w/o Logs + AD|avg_shannon_entropy,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner w/o Logs + AD,avg_shannon_entropy,Shannon entropy,7.39317852676
rq3|Gleaner w/o Logs + AD|avg_proportion_anomaly,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner w/o Logs + AD,avg_proportion_anomaly,Anomaly proportion,0.073992722571
rq3|Gleaner w/o Logs + AD|avg_path_coverage_dedup,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner w/o Logs + AD,avg_path_coverage_dedup,Path coverage,0.908159545143
rq3|Gleaner w/o Logs + AD|avg_benefit_cost_ratio,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner w/o Logs + AD,avg_benefit_cost_ratio,Benefit-cost ratio,0.796066516626
rq3|Gleaner w/o Rebalance|avg_api_coverage,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner w/o Rebalance,avg_api_coverage,API coverage,0.996706192358
rq3|Gleaner w/o Rebalance|avg_unique_trace_coverage,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner w/o Rebalance,avg_unique_trace_coverage,Unique trace coverage,0.220996105194
rq3|Gleaner w/o Rebalance|avg_shannon_entropy,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner w/o Rebalance,avg_shannon_entropy,Shannon entropy,7.49906608032
rq3|Gleaner w/o Rebalance|avg_proportion_anomaly,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner w/o Rebalance,avg_proportion_anomaly,Anomaly proportion,0.100850752
rq3|Gleaner w/o Rebalance|avg_path_coverage_dedup,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner w/o Rebalance,avg_path_coverage_dedup,Path coverage,0.895638736802
rq3|Gleaner w/o Rebalance|avg_benefit_cost_ratio,rq3,"Paper RQ2: Ablation Study (Table 5, Fig. 6, Fig. 7, Table 7, Finding 2)",Gleaner w/o Rebalance,avg_benefit_cost_ratio,Benefit-cost ratio,0.836164281798
